"target_rr","rep","K","method","rr_obs","weight_var","min_weight","max_weight","cov_mae_x","cov_bias_x","y_mean_err","y_mean_abs_err","y_pred_bias","y_pred_mae"
0.3,58,16,"standard",0.301285714285714,2.39297782962207,0.106967977185315,20.6494259580841,0.0130504029562115,-0.0123062123191978,0.0706040578018028,0.0706040578018028,0.141975167955948,1.09250576975179
0.3,58,16,"constrained",0.301285714285714,2.64293873930935,0.301285714285714,22.7201360978849,0.0107988629760485,-0.00913475578634343,0.0783895422588747,0.0783895422588747,0.140624539979732,1.09338288660414
0.3,58,20,"standard",0.301285714285714,2.35705369194115,0.0892449390297396,19.5312111589447,0.0125673737959329,-0.0112115782537507,0.0197937869184033,0.0197937869184033,0.0838394697204617,1.02286803812742
0.3,58,20,"constrained",0.301285714285714,2.60825167166956,0.301285714285714,21.246703855473,0.010962841229737,-0.00869809449743558,0.0261517509529297,0.0261517509529297,0.0840465040646005,1.02459048262978
0.3,58,25,"standard",0.301285714285714,2.36426996829034,0.0835720453769184,18.0468993346536,0.011424093592858,-0.00911347900126956,-0.000886971556957938,0.000886971556957938,0.0586974372291963,0.99555248655626
0.3,58,25,"constrained",0.301285714285714,2.62594580518412,0.301285714285714,19.4400492586749,0.0102279395011881,-0.00713034117616394,0.00462914438226125,0.00462914438226125,0.0570919826378183,0.997646667877105
0.3,59,8,"standard",0.296857142857143,1.96372366996712,0.216138937908831,16.3983142855767,0.012650623984771,-0.0118487684284172,0.312631440150222,0.312631440150222,0.308181990295849,1.48262632621136
0.3,59,8,"constrained",0.296857142857143,2.06833639019714,0.296857142857143,17.2534869675331,0.00989250140274748,-0.00848491487710774,0.316389869493993,0.316389869493993,0.312931745903727,1.48307603107072
0.3,59,12,"standard",0.296857142857143,2.08638908599937,0.161549779028771,20.6977752833354,0.0114079596177577,-0.00989012186440452,0.148198871888582,0.148198871888582,0.144115436054081,1.24853776202252
0.3,59,12,"constrained",0.296857142857143,2.23413478875674,0.296857142857143,22.2968988587866,0.00925613591788465,-0.00690172405078078,0.154335720666834,0.154335720666834,0.151978517745399,1.24866680707079
0.3,59,16,"standard",0.296857142857143,2.10665258700438,0.143807368621042,21.7792349564304,0.011068362935026,-0.00840242294941227,0.0603643077879266,0.0603643077879266,0.0680635647378481,1.08565159922161
0.3,59,16,"constrained",0.296857142857143,2.26968321267902,0.296857142857143,23.7923996532748,0.00950244709763329,-0.00587764416191667,0.0660603439032226,0.0660603439032226,0.0754439493521597,1.08650160780659
0.3,59,20,"standard",0.296857142857143,2.14063743593833,0.117771993270944,22.0257818479902,0.010154482959045,-0.00740995398263604,0.0129017689865885,0.0129017689865885,0.0172631738858099,1.01795684566671
