"method","K","weight_var_mean","weight_var_median","weight_var_sd","cov_mae_x_mean","cov_mae_x_median","cov_mae_x_sd","y_mean_abs_err_mean","y_mean_abs_err_median","y_mean_abs_err_sd","y_pred_mae_mean","y_pred_mae_median","y_pred_mae_sd","margin_max_abs_err_mean","margin_max_abs_err_median","margin_max_abs_err_sd","min_weight_mean","min_weight_median","min_weight_sd","max_weight_mean","max_weight_median","max_weight_sd"
"constrained",21,2.45732615907604,2.41965153362838,0.302837440229057,0.00876434652372516,0.00862084942881419,0.00100361257356767,0.0633663895816229,0.0597040829536297,0.0421834172725771,1.01292759832409,1.01179518866373,0.00763153570863217,1.36811148243599e-09,1.28320865044884e-09,3.41850030995455e-10,0.300031428571429,0.299928571428571,0.00610755587069551,23.0392460919032,22.2501734717258,4.91795492272418
"standard",21,2.18349703952405,2.15274779346228,0.226980730557636,0.010204032782044,0.0100565646744199,0.00137472010366091,0.0561688974378991,0.05377774385832,0.0388968806716823,1.01134007748921,1.01021613628976,0.00714415280520738,9.91602538968906e-11,9.80293624053274e-12,3.28028876291414e-10,0.0962863722094967,0.0967024958648411,0.0141483403505755,20.3706716675404,20.0479961366614,3.95751281383295
"constrained",22,2.46676283772254,2.44650166833528,0.300977970557241,0.00872643255597735,0.00868048624031422,0.000945511288309532,0.0596539411610654,0.0580346780907299,0.0404725238787987,1.00431786851773,1.00321213350552,0.00785016252858725,1.40783765756325e-09,1.39774533614023e-09,3.21071082877281e-10,0.300031428571429,0.299928571428571,0.00610755587069551,23.0477416768903,22.6915039983434,5.12402899909253
"standard",22,2.18902708399238,2.15800291636361,0.225441429331718,0.0100817017319144,0.0100783388535638,0.00130197933478276,0.0527922979480613,0.0498976836901543,0.0373065840939048,1.00267504853279,1.0017519451866,0.00732250196538487,1.02622224606996e-10,1.13292708547874e-11,3.25884664522766e-10,0.0942363726420619,0.0955188587359448,0.0137909433682233,20.3883097641102,19.7619410076612,4.11739436291385
"constrained",23,2.47107497999162,2.44500027697992,0.3012533299139,0.00868232638105679,0.00856232519036377,0.00091387870671176,0.057337530924989,0.0565586995991434,0.039598772429325,1.00107146226135,1.00029597055887,0.00794133871451032,1.37805154232229e-09,1.36125855032532e-09,3.32635508475564e-10,0.300031428571429,0.299928571428571,0.00610755587069551,22.8729871311649,21.8892276981338,5.10234176277948
"standard",23,2.19093207228785,2.16074858761752,0.224875155064197,0.00994099354069553,0.00984662399460144,0.00124867638584607,0.0505407169770137,0.049294286245916,0.0366922184700751,0.999392006196729,0.998476031153398,0.00743810836335346,1.07023554463126e-10,1.14573905918292e-11,3.3497606859696e-10,0.0928353161119531,0.0943200174516999,0.0139159233565091,20.2385449533308,19.6016968189612,4.11199824384
"constrained",24,2.47797894035306,2.44704947596653,0.301714259035322,0.00863009986727244,0.00852858303134066,0.000858267568513716,0.0548290263854805,0.053033671698596,0.0389987732261797,0.997143008301658,0.996136519681547,0.00824263201290805,1.41867763758796e-09,1.40076084065299e-09,3.18874716833764e-10,0.300031428571429,0.299928571428571,0.00610755587069551,22.9279120627158,22.1299882409422,5.19849691589559
"standard",24,2.19531546216466,2.15934794029645,0.224633369491533,0.00980684254593825,0.00971566282271222,0.00117410485987393,0.0484727375796705,0.0448236408185831,0.0361439483389377,0.995396087213164,0.994626381637125,0.00766297910240053,8.71813921055065e-11,1.17180154468599e-11,2.39093966176e-10,0.0915990270444965,0.0920960645914106,0.0140209721838437,20.2832183500781,19.638188883225,4.17916940457696
"constrained",25,2.4866430511419,2.45206641417371,0.303812874032545,0.00858604440725763,0.00851367342606598,0.000811928886775923,0.0536866117189025,0.0528985917189515,0.0383793353490182,0.99599530252826,0.994796855992957,0.00816146113969038,1.43410140318601e-09,1.44340761565331e-09,3.13441607318384e-10,0.300031428571429,0.299928571428571,0.00610755587069551,23.1273793494727,22.5665981678071,4.98184731634846
"standard",25,2.20047292662441,2.17549467392597,0.225683176202759,0.00966815153516676,0.0095168920568539,0.00109436243880912,0.0476665388929727,0.046403160501983,0.0352976192214512,0.994195238041859,0.993292863457631,0.00758972947496284,1.17619576855965e-10,1.20576326700927e-11,3.65584032575026e-10,0.0900704673789067,0.0902113279022785,0.0141324947834124,20.4410074957231,20.1798717506977,4.04499104682638
